Date,Realized 5-day PnL,Historical VaR,Parametric VaR,Monte Carlo VaR,EWMA VaR,GARCH VaR,FHS VaR
2007-04-09,14770.888119951795,,,,,,
2007-04-10,19189.809266844863,,,,,,
2007-04-11,15444.035816221762,,,,,,
2007-04-12,15818.179339163533,,,,,,
2007-04-13,4021.4528611892415,,,,,,
2007-04-16,11282.873434131017,,,,,,
2007-04-17,4151.36716992002,,,,,,
2007-04-18,7844.7635737733335,,,,,,
2007-04-19,3894.340049339878,,,,,,
2007-04-20,9913.991479617796,,,,,,
2007-04-23,-2579.7646318810916,,,,,,
2007-04-24,-5303.342495330634,,,,,,
2007-04-25,-1490.7843048956263,,,,,,
2007-04-26,4313.349084330899,,,,,,
2007-04-27,9575.905588482277,,,,,,
2007-04-30,20521.412288297346,,,,,,
2007-05-02,19128.74111689608,,,,,,
2007-05-03,15924.583512276797,,,,,,
2007-05-04,11579.921269544187,,,,,,
2007-05-07,10387.57886406448,,,,,,
2007-05-08,1614.1079190533878,,,,,,
2007-05-09,-1369.8556308173113,,,,,,
2007-05-10,923.2629833098088,,,,,,
2007-05-11,6492.7263628238,,,,,,
2007-05-14,3297.72448947384,,,,,,
2007-05-15,7760.183389134159,,,,,,
2007-05-16,14888.636555435245,,,,,,
2007-05-17,11613.663004838101,,,,,,
2007-05-18,6516.360569596829,,,,,,
2007-05-21,13703.129725131037,,,,,,
2007-05-22,13809.687141533796,,,,,,
2007-05-23,21637.22464898412,,,,,,
2007-05-25,20103.88602461972,,,,,,
2007-05-29,25406.562315039202,,,,,,
2007-05-30,17727.160712776968,,,,,,
2007-05-31,11486.889563358565,,,,,,
2007-06-01,897.2374518077522,,,,,,
2007-06-04,-2043.0729892446593,,,,,,
2007-06-05,-8067.420319776912,,,,,,
2007-06-07,-3870.0323948120667,,,,,,
2007-06-08,13404.083711192303,,,,,,
2007-06-11,22917.12902477353,,,,,,
2007-06-12,35339.86861996738,,,,,,
2007-06-13,38791.0080255875,,,,,,
2007-06-14,19940.18195374717,,,,,,
2007-06-15,13030.339872317092,,,,,,
2007-06-18,-1678.8303148672364,,,,,,
2007-06-19,-17345.064348456282,,,,,,
2007-06-20,-26835.249838790398,,,,,,
2007-06-21,-18641.039633830293,,,,,,
2007-06-22,-17310.809741383513,,,,,,
2007-06-25,-11508.80055117934,,,,,,
2007-06-26,3224.873421985936,,,,,,
2007-06-27,19118.43259093608,,,,,,
2007-06-28,31925.566722936353,,,,,,
2007-06-29,28386.384201718145,,,,,,
2007-07-02,33513.611606236074,,,,,,
2007-07-03,24601.542790369975,,,,,,
2007-07-05,17387.037922856245,,,,,,
2007-07-06,20081.25222155656,,,,,,
2007-07-09,22877.447878391624,,,,,,
2007-07-10,15076.661369179881,,,,,,
2007-07-11,12211.247846951082,,,,,,
2007-07-12,12811.348614027735,,,,,,
2007-07-13,9520.31782907339,,,,,,
2007-07-16,2501.6898426559983,,,,,,
2007-07-18,-680.1226716961015,,,,,,
2007-07-19,7089.745201603402,,,,,,
2007-07-20,-4803.3054099686,,,,,,
2007-07-23,-32430.594009901495,,,,,,
