Date,^KS11,^KQ11,IEF,^GSPC
2022-12-12,2373.02001953125,715.219970703125,86.0119400024414,3990.56005859375
2022-12-13,2372.39990234375,715.1599731445312,86.78661346435547,4019.64990234375
2022-12-14,2399.25,729.0,87.0242691040039,3995.320068359375
2022-12-15,2360.969970703125,722.6799926757812,87.193603515625,3895.75
2022-12-16,2360.02001953125,717.4099731445312,86.97312927246094,3852.360107421875
2022-12-19,2352.169921875,717.219970703125,86.26751708984375,3817.659912109375
2022-12-20,2333.2900390625,703.1300048828125,85.64131927490234,3821.6201171875
2022-12-21,2328.949951171875,705.7000122070312,85.7471694946289,3878.43994140625
2022-12-22,2356.72998046875,715.02001953125,85.72068786621094,3822.389892578125
2022-12-23,2313.68994140625,691.25,85.33262634277344,3844.820068359375
2022-12-27,2332.7900390625,704.1900024414062,84.61820983886719,3829.25
2022-12-28,2280.449951171875,692.3699951171875,84.41534423828125,3783.219970703125
2022-12-29,2236.39990234375,679.2899780273438,84.82987976074219,3849.280029296875
2023-01-03,2218.679931640625,674.9500122070312,85.13856506347656,3824.139892578125
2023-01-04,2255.97998046875,683.6699829101562,85.791259765625,3852.969970703125
2023-01-05,2264.64990234375,679.9199829101562,85.66778564453125,3808.10009765625
2023-01-06,2289.969970703125,688.9400024414062,86.77027130126953,3895.080078125
2023-01-09,2350.18994140625,701.2100219726562,86.99073028564453,3892.090087890625
2023-01-10,2351.31005859375,696.0499877929688,86.44391632080078,3919.25
2023-01-11,2359.530029296875,709.77001953125,86.99958801269531,3969.610107421875
2023-01-12,2365.10009765625,710.8200073242188,87.77576446533203,3983.169921875
2023-01-13,2386.090087890625,711.8200073242188,87.30826568603516,3999.090087890625
2023-01-17,2379.389892578125,709.7100219726562,87.03488159179688,3990.969970703125
2023-01-18,2368.320068359375,711.75,88.21672058105469,3928.860107421875
2023-01-19,2380.340087890625,712.8900146484375,88.04915618896484,3898.85009765625
2023-01-20,2395.260009765625,717.969970703125,87.4670181274414,3972.610107421875
2023-01-25,2428.570068359375,732.3499755859375,87.78455352783203,4016.219970703125
2023-01-26,2468.64990234375,738.9400024414062,87.4670181274414,4060.429931640625
2023-01-27,2484.02001953125,741.25,87.3347396850586,4070.56005859375
2023-01-30,2450.469970703125,738.6199951171875,87.06130981445312,4017.77001953125
2023-01-31,2425.080078125,740.489990234375,87.50233459472656,4076.60009765625
